Customer ID,sales_id,product_id,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Country,Location,Size,Color,Season,Year,Review Rating,Subscription Status,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Discount value
17,10017,P002-SG8-S,25,Female,Sunglasses,Accessories,36,USA,Alabama,S,Gray,Spring,2023,4.1,Yes,Next Day Air,Yes,0,Credit Card,0
18,10018,P001-D11-XL,53,Male,Dress,Clothing,38,USA,Mississippi,XL,Lavender,Winter,2023,4.7,Yes,2-Day Shipping,Yes,36,Credit Card,0
19,10019,P001-SW2-S,52,Female,Sweater,Clothing,48,USA,Montana,S,Black,Summer,2023,4.6,Yes,Free Shipping,No,0,Credit Card,0
20,10020,P001-P9-M,66,Female,Pants,Clothing,90,USA,Rhode Island,M,Green,Summer,2023,3.3,Yes,Standard,No,0,Debit Card,0
21,10021,P001-P2-M,21,Female,Pants,Clothing,51,USA,Louisiana,M,Black,Winter,2023,2.8,Yes,Express,No,0,Debit Card,0
22,10022,P001-P5-M,31,Female,Pants,Clothing,62,USA,North Carolina,M,Charcoal,Winter,2023,4.1,Yes,Store Pickup,No,0,Credit Card,0
23,10023,P001-P15-M,56,Female,Pants,Clothing,37,USA,California,M,Peach,Summer,2023,3.2,Yes,Store Pickup,No,0,Credit Card,0
24,10024,P001-P23-XL,31,Female,Pants,Clothing,88,USA,Oklahoma,XL,White,Winter,2023,4.4,Yes,Express,No,0,Debit Card,0
25,10025,P004-J9-M,18,Female,Jacket,Outerwear,22,USA,Florida,M,Green,Fall,2023,2.9,Yes,Store Pickup,Yes,16,Debit Card,0
26,10026,P001-H18-M,18,Female,Hoodie,Clothing,25,USA,Texas,M,Silver,Summer,2023,3.6,Yes,Express,Yes,0,Debit Card,0
27,10027,P002-J17-M,38,Female,Jewelry,Accessories,20,USA,Nevada,M,Red,Spring,2023,3.6,Yes,Next Day Air,No,0,Credit Card,0
28,10028,P001-SHTS6-L,56,Female,Shorts,Clothing,56,USA,Kentucky,L,Cyan,Summer,2023,5,Yes,Next Day Air,Yes,0,Credit Card,0
29,10029,P002-HB8-M,54,Male,Handbag,Accessories,94,USA,North Carolina,M,Gray,Fall,2023,4.4,Yes,Free Shipping,No,0,Debit Card,0
30,10030,P001-BD-S,0,Male,Dress,Clothing,48,USA,Wyoming,S,Black,Fall,2023,4.1,Yes,Store Pickup,Yes,14,Debit Card,0
31,10031,P002-J2-L,57,Female,Jewelry,Accessories,31,USA,North Carolina,L,Black,Winter,2023,4.7,Yes,Standard,Yes,0,Debit Card,0
32,10032,P001-D4-L,33,Female,Dress,Clothing,79,USA,West Virginia,L,Brown,Winter,2023,4.7,Yes,Store Pickup,No,0,Credit Card,0
33,10033,P004-J18-M,36,Female,Jacket,Outerwear,67,USA,Kansas,M,Silver,Summer,2023,4.9,Yes,Free Shipping,No,37,Debit Card,0
34,10034,P001-P9-L,54,Female,Pants,Clothing,38,USA,Colorado,L,Green,Summer,2023,3.3,Yes,Store Pickup,Yes,0,Credit Card,0
35,10035,P001-TSHT21-L,36,Female,T-shirt,Clothing,91,USA,North Dakota,L,Violet,Spring,2023,4.6,Yes,2-Day Shipping,No,0,Credit Card,0
36,10036,P001-B6-M,54,Female,Blouse,Clothing,33,USA,Massachusetts,M,Cyan,Summer,2023,4,Yes,2-Day Shipping,No,48,Credit Card,0
37,10037,P001-TSHT13-M,0,Female,T-shirt,Clothing,69,USA,Illinois,M,Maroon,Winter,2023,4.6,Yes,Free Shipping,No,0,Debit Card,0
38,10038,P001-J6-S,35,Female,Jeans,Clothing,45,USA,Indiana,S,Cyan,Summer,2023,2.8,Yes,Store Pickup,Yes,0,Debit Card,0
39,10039,P001-D17-M,29,Male,Dress,Clothing,37,USA,Florida,M,Red,Winter,2023,3.7,Yes,2-Day Shipping,No,0,Debit Card,0
40,10040,P001-P20-S,70,Male,Pants,Clothing,60,USA,Arizona,S,Turquoise,Summer,2023,4.2,Yes,Express,No,18,Credit Card,0
41,10041,P002-HB1-L,69,Female,Handbag,Accessories,76,USA,Louisiana,L,Beige,Winter,2023,4.6,Yes,Next Day Air,No,0,Debit Card,0
42,10042,P002-SCF25-M,67,Female,Scarf,Accessories,39,USA,Alaska,M,Orange,Spring,2023,4.5,Yes,Standard,No,0,Credit Card,0
43,10043,P004-C1-M,20,Female,Coat,Outerwear,100,USA,Tennessee,M,Beige,Spring,2023,4.1,Yes,Free Shipping,Yes,0,Credit Card,0
44,10044,P002-SCF11-L,25,Female,Scarf,Accessories,69,USA,Ohio,L,Lavender,Fall,2023,3.7,Yes,Store Pickup,Yes,0,Credit Card,0
45,10045,P002-HT18-S,0,Female,Hat,Accessories,53,USA,Kentucky,S,Silver,Summer,2023,4.6,Yes,Free Shipping,No,45,Debit Card,0
46,10046,P001-SO10-XL,50,Female,Socks,Clothing,21,USA,Tennessee,XL,Indigo,Fall,2023,2.9,Yes,2-Day Shipping,Yes,0,Debit Card,0
47,10047,P001-S23-L,57,Male,Shirt,Clothing,43,USA,California,L,White,Summer,2023,2.9,Yes,Store Pickup,No,0,Debit Card,0
48,10048,P002-J5-M,55,Female,Jewelry,Accessories,54,USA,Montana,M,Charcoal,Winter,2023,4.5,Yes,Free Shipping,Yes,36,Debit Card,0
49,10049,P001-S25-M,42,Male,Shirt,Clothing,55,USA,Nevada,M,Orange,Summer,2023,2.7,Yes,Store Pickup,No,0,Credit Card,0
50,10050,P001-H10-S,68,Male,Hoodie,Clothing,30,USA,New Jersey,S,Indigo,Spring,2023,4.6,Yes,Next Day Air,No,34,Debit Card,0
51,10051,P001-B17-M,49,Male,Blouse,Clothing,28,USA,Maryland,M,Red,Spring,2023,3.7,Yes,Store Pickup,No,0,Debit Card,0
52,10052,P001-SK8-XL,59,Male,Skirt,Clothing,59,USA,Vermont,XL,Gray,Winter,2023,4.7,Yes,2-Day Shipping,Yes,0,Debit Card,0
53,10053,P001-TSHT9-M,42,Female,T-shirt,Clothing,20,USA,Alaska,M,Green,Summer,2023,2.6,Yes,Free Shipping,No,26,Credit Card,0
54,10054,P001-SK15-S,29,Female,Skirt,Clothing,24,USA,Mississippi,S,Peach,Winter,2023,3.9,Yes,Next Day Air,No,35,Debit Card,0
55,10055,P004-C4-M,47,Female,Coat,Outerwear,94,USA,New Mexico,M,Brown,Summer,2023,4.2,Yes,Next Day Air,Yes,35,Credit Card,0
56,10056,P004-J11-M,40,Female,Jacket,Outerwear,28,USA,South Carolina,M,Lavender,Winter,2023,3,Yes,2-Day Shipping,No,49,Debit Card,0
57,10057,P002-BKPK4-XL,41,Female,Backpack,Accessories,73,USA,Mississippi,XL,Brown,Summer,2023,4.7,Yes,Store Pickup,Yes,0,Credit Card,0
58,10058,P004-C23-M,21,Female,Coat,Outerwear,64,USA,West Virginia,M,White,Summer,2023,4.4,Yes,Store Pickup,No,0,Credit Card,0
59,10059,P001-H5-M,69,Male,Hoodie,Clothing,54,USA,Missouri,M,Charcoal,Summer,2023,4.2,Yes,Free Shipping,No,0,Credit Card,0
60,10060,P002-BLT22-L,63,Female,Belt,Accessories,79,USA,Louisiana,L,Yellow,Spring,2023,4.6,Yes,Standard,No,0,Credit Card,0
61,10061,P001-SW4-L,50,Female,Sweater,Clothing,37,USA,Idaho,L,Brown,Summer,2023,4,Yes,Express,Yes,17,Debit Card,0
62,10062,P002-SCF25-M,55,Not Available,Scarf,Accessories,68,USA,Texas,M,Orange,Winter,2023,4.7,Yes,Store Pickup,No,0,Debit Card,0
63,10063,P003-SNK12-S,30,Female,Sneakers,Footwear,21,USA,Mississippi,S,Magenta,Spring,2023,3.8,Yes,Free Shipping,No,0,Credit Card,0
64,10064,P002-SG11-L,33,Female,Sunglasses,Accessories,79,USA,Arizona,L,Lavender,Winter,2023,2.7,Yes,2-Day Shipping,No,0,Credit Card,0
65,10065,P003-B9-S,65,Female,Boots,Footwear,83,USA,Alabama,S,Green,Fall,2023,4.8,Yes,Standard,Yes,0,Credit Card,0
66,10066,P002-BKPK24-M,65,Male,Backpack,Accessories,36,USA,New Jersey,M,Purple,Spring,2023,4.8,Yes,2-Day Shipping,No,0,Credit Card,0
67,10067,P001-B12-S,31,Male,Blouse,Clothing,94,USA,Pennsylvania,S,Magenta,Winter,2023,4.7,Yes,2-Day Shipping,No,3,Credit Card,0
68,10068,P004-C8-L,45,Male,Coat,Outerwear,33,USA,Connecticut,L,Gray,Winter,2023,4.4,Yes,Store Pickup,No,49,Debit Card,0
69,10069,P002-HB18-L,0,Female,Handbag,Accessories,46,USA,Utah,L,Silver,Summer,2023,3.9,Yes,Next Day Air,Yes,21,Credit Card,0
70,10070,P002-BLT6-S,48,Male,Belt,Accessories,70,USA,Tennessee,S,Cyan,Summer,2023,4.4,Yes,Express,No,0,Credit Card,0
71,10071,P002-BLT12-M,22,Male,Belt,Accessories,29,USA,Alabama,M,Magenta,Fall,2023,4.2,Yes,Express,No,0,Credit Card,0
72,10072,P001-D7-L,36,Male,Dress,Clothing,48,USA,Virginia,L,Gold,Summer,2023,2.9,Yes,Express,No,34,Credit Card,0
73,10073,P001-D14-M,18,Female,Dress,Clothing,26,USA,Georgia,M,Olive,Winter,2023,2.9,Yes,Store Pickup,No,0,Debit Card,0
74,10074,P001-P19-M,48,Male,Pants,Clothing,85,USA,Hawaii,M,Teal,Spring,2023,2.7,Yes,Free Shipping,No,0,Credit Card,0
75,10075,P002-G21-L,49,Female,Gloves,Accessories,58,USA,Indiana,L,Violet,Spring,2023,4.5,Yes,Express,No,0,Credit Card,0
76,10076,P002-SCF3-M,64,Male,Scarf,Accessories,85,USA,Utah,M,Blue,Summer,2023,2.7,Yes,Free Shipping,No,0,Credit Card,0
77,10077,P002-HT19-S,50,Female,Hat,Accessories,43,USA,Delaware,S,Teal,Summer,2023,4.2,Yes,Free Shipping,No,0,Credit Card,0
78,10078,P001-D7-L,0,Female,Dress,Clothing,53,USA,Delaware,L,Gold,Summer,2023,3.3,Yes,Next Day Air,No,36,Credit Card,0
79,10079,P001-SK13-M,50,Female,Skirt,Clothing,91,USA,Nebraska,M,Maroon,Spring,2023,4.7,Yes,Free Shipping,No,0,Debit Card,0
80,10080,P004-J14-M,38,Female,Jacket,Outerwear,96,USA,Iowa,M,Olive,Winter,2023,2.6,Yes,2-Day Shipping,Yes,0,Credit Card,0
81,10081,P003-SD3-XL,19,Male,Sandals,Footwear,72,USA,New York,XL,Blue,Summer,2023,3.3,Yes,Store Pickup,No,0,Debit Card,0
82,10082,P003-SH13-L,67,Male,Shoes,Footwear,96,USA,Virginia,L,Maroon,Summer,2023,2.6,Yes,Express,Yes,0,Credit Card,0
83,10083,P001-P14-S,19,Female,Pants,Clothing,28,USA,Georgia,S,Olive,Spring,2023,4,Yes,2-Day Shipping,No,0,Debit Card,0
84,10084,P001-D20-M,36,Male,Dress,Clothing,40,USA,Texas,M,Turquoise,Summer,2023,4.1,Yes,Standard,Yes,0,Credit Card,0
85,10085,P004-C15-S,52,Female,Coat,Outerwear,32,USA,Arizona,S,Peach,Spring,2023,4.4,Yes,Standard,No,42,Debit Card,0
86,10086,P002-SG5-M,53,Female,Sunglasses,Accessories,95,USA,New Mexico,M,Charcoal,Winter,2023,4.5,Yes,Next Day Air,Yes,0,Credit Card,0
87,10087,P001-H16-L,24,Male,Hoodie,Clothing,41,USA,Nevada,L,Pink,Spring,2023,3.7,Yes,2-Day Shipping,No,0,Debit Card,0
88,10088,P003-SH9-M,52,Female,Shoes,Footwear,53,USA,Ohio,M,Green,Fall,2023,3.7,Yes,2-Day Shipping,Yes,0,Debit Card,0
89,10089,P001-TSHT25-M,33,Male,T-shirt,Clothing,47,USA,Wyoming,M,Orange,Fall,2023,3.5,Yes,Free Shipping,No,35,Credit Card,0
90,10090,P004-J16-XL,47,Male,Jacket,Outerwear,83,USA,California,XL,Pink,Fall,2023,3.6,Yes,Next Day Air,No,15,Credit Card,0
91,10091,P002-HT21-L,0,Female,Hat,Accessories,48,USA,South Carolina,L,Violet,Summer,2023,2.9,Yes,Express,No,29,Credit Card,0
92,10092,P002-SCF9-S,44,Male,Scarf,Accessories,99,USA,South Carolina,S,Green,Winter,2023,4.6,Yes,Standard,No,0,Credit Card,0
93,10093,P004-J14-M,61,Male,Jacket,Outerwear,87,USA,Texas,M,Olive,Winter,2023,4.4,Yes,2-Day Shipping,No,0,Debit Card,0
94,10094,P001-SW24-M,37,Female,Sweater,Clothing,62,USA,Florida,M,Purple,Fall,2023,4.5,Yes,Standard,No,46,Debit Card,0
95,10095,P001-SK18-S,58,Female,Skirt,Clothing,76,USA,Nevada,S,Silver,Spring,2023,4.6,Yes,Free Shipping,Yes,28,Credit Card,0
96,10096,P003-SNK16-L,37,Female,Sneakers,Footwear,100,USA,Missouri,L,Pink,Fall,2023,3.8,Yes,Free Shipping,No,0,Credit Card,0
97,10097,P002-G7-S,32,Female,Gloves,Accessories,73,USA,Delaware,S,Gold,Spring,2023,3.6,Yes,Express,No,43,Credit Card,0
98,10098,P003-SH19-M,21,Male,Shoes,Footwear,92,USA,Virginia,M,Teal,Winter,2023,4.8,Yes,Store Pickup,Yes,0,Credit Card,0
99,10099,P001-J19-XL,20,Female,Jeans,Clothing,67,USA,New York,XL,Teal,Spring,2023,2.6,Yes,Next Day Air,No,20,Debit Card,0
100,10100,P001-H10-XL,26,Male,Hoodie,Clothing,40,USA,Missouri,XL,Indigo,Summer,2023,3.7,Yes,Express,No,0,Credit Card,0
101,10101,P002-SG13-M,62,Female,Sunglasses,Accessories,98,USA,South Dakota,M,Maroon,Fall,2023,2.7,Yes,Express,No,0,Credit Card,0
102,10102,P004-C23-XL,27,Female,Coat,Outerwear,85,USA,North Dakota,XL,White,Spring,2023,4.6,Yes,Express,Yes,0,Credit Card,0
103,10103,P001-SO21-L,0,Male,Socks,Clothing,67,USA,Oklahoma,L,Violet,Winter,2023,4.8,Yes,Next Day Air,No,35,Debit Card,0
104,10104,P003-B17-L,54,Female,Boots,Footwear,89,USA,West Virginia,L,Red,Winter,2023,4,Yes,Next Day Air,No,0,Credit Card,0
105,10105,P002-SG16-L,55,Female,Sunglasses,Accessories,24,USA,New Hampshire,L,Pink,Spring,2023,4.4,Yes,2-Day Shipping,No,1,Credit Card,0
106,10106,P002-BKPK5-M,69,Female,Backpack,Accessories,96,USA,New York,M,Charcoal,Fall,2023,3.6,Yes,Next Day Air,No,0,Credit Card,0
107,10107,P004-J23-L,64,Female,Jacket,Outerwear,35,USA,Minnesota,L,White,Summer,2023,3.7,Yes,Standard,No,0,Debit Card,0
108,10108,P003-SNK14-L,28,Female,Sneakers,Footwear,67,USA,Maryland,L,Olive,Winter,2023,3.1,Yes,Next Day Air,Yes,0,Debit Card,0
109,10109,P001-SO24-L,70,Female,Socks,Clothing,79,USA,Montana,L,Purple,Spring,2023,3.4,Yes,Next Day Air,Yes,0,Credit Card,0
110,10110,P001-TSHT21-M,58,Female,T-shirt,Clothing,85,USA,Alabama,M,Violet,Spring,2023,2.6,Yes,Next Day Air,No,0,Credit Card,0
111,10111,P002-BKPK2-M,56,Female,Backpack,Accessories,26,USA,New York,M,Black,Summer,2023,4,Yes,Standard,No,26,Credit Card,0
112,10112,P002-BLT24-L,0,Female,Belt,Accessories,75,USA,Massachusetts,L,Purple,Summer,2023,5,Yes,Free Shipping,No,0,Debit Card,0
113,10113,P002-G17-M,37,Female,Gloves,Accessories,65,USA,Florida,M,Red,Spring,2023,4.3,Yes,Free Shipping,No,0,Debit Card,0
114,10114,P002-HT13-L,44,Female,Hat,Accessories,54,USA,New Jersey,L,Maroon,Winter,2023,3.1,Yes,Next Day Air,No,20,Debit Card,0
115,10115,P004-C3-S,70,Female,Coat,Outerwear,95,USA,Massachusetts,S,Blue,Summer,2023,3.7,Yes,Store Pickup,Yes,0,Credit Card,0
116,10116,P001-SK8-M,53,Female,Skirt,Clothing,94,USA,Wyoming,M,Gray,Spring,2023,3.8,Yes,Standard,No,0,Credit Card,0
117,10117,P003-SH3-S,55,Male,Shoes,Footwear,86,USA,Virginia,S,Blue,Spring,2023,3.4,Yes,Free Shipping,Yes,0,Credit Card,0
118,10118,P003-SD22-L,50,Female,Sandals,Footwear,32,USA,South Dakota,L,Yellow,Summer,2023,4.6,Yes,Express,No,29,Credit Card,0
119,10119,P001-SW25-L,50,Male,Sweater,Clothing,45,USA,Kentucky,L,Orange,Fall,2023,4.8,Yes,2-Day Shipping,No,0,Credit Card,0
120,10120,P004-C25-M,38,Female,Coat,Outerwear,76,USA,Wyoming,M,Orange,Fall,2023,4.3,Yes,Express,No,0,Debit Card,0
121,10121,P002-HT17-L,64,Female,Hat,Accessories,84,USA,West Virginia,L,Red,Summer,2023,4,Yes,Express,No,0,Debit Card,0
122,10122,P001-SHTS14-M,19,Female,Shorts,Clothing,72,USA,Virginia,M,Olive,Winter,2023,4.2,Yes,Standard,Yes,0,Debit Card,0
123,10123,P002-BKPK4-L,40,Female,Backpack,Accessories,40,USA,Washington,L,Brown,Spring,2023,4.8,Yes,2-Day Shipping,No,0,Credit Card,0
124,10124,P001-SW4-L,57,Male,Sweater,Clothing,89,USA,Louisiana,L,Brown,Fall,2023,3.1,Yes,Free Shipping,No,0,Credit Card,0
125,10125,P001-SW8-M,44,Male,Sweater,Clothing,86,USA,Nevada,M,Gray,Spring,2023,3.1,Yes,Next Day Air,Yes,0,Credit Card,0
126,10126,P001-SHTS10-M,49,Male,Shorts,Clothing,54,USA,California,M,Indigo,Winter,2023,3.6,Yes,Next Day Air,Yes,45,Credit Card,0
127,10127,P001-SHTS16-L,43,Female,Shorts,Clothing,36,USA,Mississippi,L,Pink,Spring,2023,3.9,Yes,Store Pickup,No,0,Credit Card,0
128,10128,P001-SW8-M,24,Female,Sweater,Clothing,89,USA,Mississippi,M,Gray,Winter,2023,4.8,Yes,Next Day Air,No,26,Credit Card,0
129,10129,P002-SCF7-M,20,Male,Scarf,Accessories,32,USA,California,M,Gold,Spring,2023,4.7,Yes,Standard,No,0,Credit Card,0
130,10130,P001-D14-XL,24,Female,Dress,Clothing,67,USA,Pennsylvania,XL,Olive,Summer,2023,4.2,Yes,2-Day Shipping,No,49,Credit Card,0
131,10131,P002-SCF21-L,44,Female,Scarf,Accessories,39,USA,Kentucky,L,Violet,Fall,2023,3.7,Yes,Next Day Air,Yes,13,Debit Card,0
132,10132,P001-SK10-L,28,Female,Skirt,Clothing,29,USA,Maine,L,Indigo,Summer,2023,3.9,Yes,Standard,No,0,Credit Card,0
133,10133,P002-BKPK25-M,30,Male,Backpack,Accessories,58,USA,New Mexico,M,Orange,Fall,2023,4.7,Yes,2-Day Shipping,No,0,Credit Card,0
134,10134,P001-SW21-M,52,Female,Sweater,Clothing,65,USA,Montana,M,Violet,Winter,2023,2.5,Yes,Next Day Air,No,25,Credit Card,0
135,10135,P002-HT8-L,43,Male,Hat,Accessories,94,USA,Texas,L,Gray,Fall,2023,4.9,Yes,Store Pickup,Yes,0,Credit Card,0
136,10136,P003-SD24-M,43,Male,Sandals,Footwear,81,USA,Kansas,M,Purple,Fall,2023,4.1,Yes,Express,No,12,Credit Card,0
137,10137,P001-B23-M,39,Female,Blouse,Clothing,86,USA,South Carolina,M,White,Winter,2023,3.3,Yes,Free Shipping,No,4,Credit Card,0
138,10138,P003-SNK20-M,68,Not Available,Sneakers,Footwear,43,USA,Colorado,M,Turquoise,Spring,2023,4.7,Yes,Free Shipping,Yes,0,Debit Card,0
139,10139,P001-SK13-M,68,Male,Skirt,Clothing,29,USA,Georgia,M,Maroon,Winter,2023,4.4,Yes,Store Pickup,No,42,Credit Card,0
140,10140,P004-C23-M,49,Male,Coat,Outerwear,95,USA,Florida,M,White,Fall,2023,3.8,Yes,Store Pickup,No,0,Debit Card,0
141,10141,P001-S22-L,63,Male,Shirt,Clothing,28,USA,North Carolina,L,Yellow,Fall,2023,3.9,Yes,2-Day Shipping,No,0,Credit Card,0
142,10142,P002-G20-M,56,Male,Gloves,Accessories,46,USA,Virginia,M,Turquoise,Fall,2023,4.9,Yes,Free Shipping,No,45,Credit Card,0
143,10143,P004-J21-L,37,Female,Jacket,Outerwear,58,USA,Nebraska,L,Violet,Fall,2023,3.1,Yes,Free Shipping,No,0,Debit Card,0
144,10144,P004-C1-M,30,Female,Coat,Outerwear,48,USA,Missouri,M,Beige,Fall,2023,2.7,Yes,Store Pickup,Yes,0,Credit Card,0
145,10145,P003-SH18-M,19,Not Available,Shoes,Footwear,43,USA,New Jersey,M,Silver,Fall,2023,3.2,Yes,Express,No,0,Credit Card,0
146,10146,P002-J19-M,24,Female,Jewelry,Accessories,95,USA,Missouri,M,Teal,Fall,2023,4.5,Yes,Standard,Yes,44,Credit Card,0
147,10147,P001-SK2-S,52,Male,Skirt,Clothing,30,USA,Colorado,S,Black,Fall,2023,4,Yes,Standard,Yes,0,Credit Card,0
148,10148,P003-SH24-M,63,Female,Shoes,Footwear,64,USA,Idaho,M,Purple,Summer,2023,3.5,Yes,2-Day Shipping,No,0,Credit Card,0
149,10149,P002-G8-M,37,Male,Gloves,Accessories,90,USA,Wyoming,M,Gray,Fall,2023,2.6,Yes,Store Pickup,No,0,Credit Card,0
150,10150,P001-P23-M,38,Female,Pants,Clothing,76,USA,Delaware,M,White,Summer,2023,3.2,Yes,Free Shipping,No,0,Debit Card,0
151,10151,P003-B6-L,35,Female,Boots,Footwear,96,USA,California,L,Cyan,Fall,2023,4.9,Yes,Standard,No,0,Credit Card,0
152,10152,P002-SG20-L,28,Not Available,Sunglasses,Accessories,47,USA,North Dakota,L,Turquoise,Fall,2023,4.5,Yes,Next Day Air,No,3,Debit Card,0
153,10153,P001-S4-S,30,Male,Shirt,Clothing,85,USA,South Carolina,S,Brown,Summer,2023,4.3,Yes,Express,No,0,Credit Card,0
154,10154,P001-H13-M,69,Female,Hoodie,Clothing,55,USA,North Carolina,M,Maroon,Winter,2023,3.2,Yes,Standard,Yes,0,Credit Card,0
155,10155,P001-D5-M,41,Male,Dress,Clothing,98,USA,Oklahoma,M,Charcoal,Fall,2023,3.6,Yes,Next Day Air,No,0,Credit Card,0
156,10156,P001-SO14-S,63,Female,Socks,Clothing,77,USA,Maine,S,Olive,Spring,2023,4.3,Yes,Free Shipping,No,0,Credit Card,0
157,10157,P001-SHTS11-M,35,Not Available,Shorts,Clothing,26,USA,Missouri,M,Lavender,Fall,2023,4,Yes,Standard,No,0,Credit Card,0
158,10158,P002-HT22-S,36,Male,Hat,Accessories,68,USA,Vermont,S,Yellow,Fall,2023,3,Yes,Next Day Air,No,0,Credit Card,0
159,10159,P001-S19-XL,25,Female,Shirt,Clothing,73,USA,Connecticut,XL,Teal,Fall,2023,4.1,Yes,Standard,No,0,Debit Card,0
160,10160,P002-G5-M,58,Female,Gloves,Accessories,27,USA,New Hampshire,M,Charcoal,Fall,2023,3.8,Yes,Store Pickup,No,39,Debit Card,0
161,10161,P002-G25-M,0,Male,Gloves,Accessories,23,USA,Texas,M,Orange,Summer,2023,4.6,Yes,Free Shipping,Yes,0,Debit Card,0
162,10162,P002-BKPK14-M,65,Female,Backpack,Accessories,49,USA,North Dakota,M,Olive,Fall,2023,3,Yes,Express,No,29,Credit Card,0
163,10163,P002-SG20-M,0,Male,Sunglasses,Accessories,74,USA,California,M,Turquoise,Summer,2023,3,Yes,Store Pickup,No,0,Credit Card,0
164,10164,P001-SK24-M,54,Male,Skirt,Clothing,67,USA,Virginia,M,Purple,Summer,2023,3.4,Yes,Standard,No,0,Debit Card,0
165,10165,P002-HB24-S,59,Male,Handbag,Accessories,65,USA,Delaware,S,Purple,Spring,2023,2.6,Yes,Free Shipping,No,0,Credit Card,0
166,10166,P002-HB22-S,42,Female,Handbag,Accessories,60,USA,Kentucky,S,Yellow,Winter,2023,2.8,Yes,Store Pickup,No,0,Debit Card,0
167,10167,P003-SNK10-XL,46,Female,Sneakers,Footwear,31,USA,Delaware,XL,Indigo,Fall,2023,4,Yes,Store Pickup,No,0,Debit Card,0
168,10168,P002-G9-M,33,Female,Gloves,Accessories,27,USA,Arkansas,M,Green,Fall,2023,4,Yes,Express,Yes,14,Debit Card,0
169,10169,P003-SH12-M,34,Not Available,Shoes,Footwear,80,USA,Louisiana,M,Magenta,Summer,2023,3,Yes,Express,No,0,Debit Card,0
170,10170,P004-J7-S,0,Male,Jacket,Outerwear,30,USA,Nevada,S,Gold,Summer,2023,3.3,Yes,Standard,No,0,Debit Card,0
171,10171,P001-S13-M,52,Male,Shirt,Clothing,25,USA,Wyoming,M,Maroon,Fall,2023,2.6,Yes,Store Pickup,No,0,Credit Card,0
172,10172,P001-SHTS3-M,29,Female,Shorts,Clothing,35,USA,Virginia,M,Blue,Summer,2023,3.6,Yes,Store Pickup,No,4,Debit Card,0
173,10173,P002-J21-M,54,Male,Jewelry,Accessories,67,USA,Nebraska,M,Violet,Summer,2023,3.9,Yes,Next Day Air,No,0,Debit Card,0
174,10174,P002-HT20-M,25,Male,Hat,Accessories,46,USA,Hawaii,M,Turquoise,Fall,2023,3.4,Yes,Standard,No,0,Credit Card,0
